Pasteuria dose (spores/mL),Metschnikowia dose (spores/mL),Replicate,Exposure date,Mortality date,Spore count date,Pasteuria spore count 1,Pasteuria spore count 2,Pasteuria spore count 3,Avg Pasteuria spore load at death (spores/mL),Metschnikowia spore count 1,Metschnikowia spore count 2,Metschnikowia spore count 3,Avg Metsch spore load at death (spores/mL),Condition of cadaver (1-3) ,Comments,Column1
0,5,A,1/23/2018,2/5/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,B,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,143,145,101,1296667,,,
0,5,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,69,62,53,613333,,,
0,5,D,1/23/2018,2/13/2018,7/25/2018,0,0,0,0,0,0,0,0,,,
0,5,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,5,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,A,1/23/2018,2/5/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,84,77,105,886667,,,
0,50,C,1/23/2018,2/12/2018,11/26/2018,0,0,0,0,112,96,116,1080000,,,
0,50,D,1/23/2018,2/16/2018,11/12/2018,0,0,0,0,0,0,0,0,,,
0,50,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,50,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,A,1/23/2018,2/3/2018,3/28/2018,0,NA,NA,0,23,NA,NA,230000,,only 1 count bc the majority of sample was lost due to pipetting error,
0,250,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,53,58,54,550000,,,
0,250,C,1/23/2018,2/10/2018,11/12/2018,0,0,0,0,1,2,9,40000,,,
0,250,D,1/23/2018,2/16/2018,11/27/2018,0,0,0,0,0,0,0,0,,,
0,250,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,250,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,500,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,14,6,15,116667,,,
0,500,B,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,58,52,53,543333,,,
0,500,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,62,67,57,620000,,,
0,500,D,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,158,133,106,1323333,,,
0,500,E,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,80,85,61,753333,,,
0,500,F,1/23/2018,2/10/2018,7/27/2018,0,0,0,0,121,117,168,1353333,,,
0,500,G,1/23/2018,2/10/2018,7/27/2018,0,0,0,0,147,119,132,1326667,,,
0,500,H,1/23/2018,2/10/2018,11/15/2018,0,0,0,0,92,103,100,983333,,,
0,500,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,500,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,A,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,57,65,77,663333,,,
0,1000,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,51,55,93,663333,,,
0,1000,C,1/23/2018,2/9/2018,5/4/2018,0,0,0,0,59,58,67,613333,,,
0,1000,D,1/23/2018,2/9/2018,11/12/2018,0,0,0,0,84,73,112,896667,,,
0,1000,E,1/23/2018,2/23/2018,12/3/2018,0,0,0,0,0,0,0,0,,,
0,1000,F,1/23/2018,2/23/2018,12/13/2018,0,0,0,0,0,0,0,0,,,
0,1000,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,1000,J,1/23/2018,2/27/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
0,2000,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,24,33,22,263333,,,
0,2000,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,51,65,101,723333,,,
0,2000,C,1/23/2018,2/8/2018,4/27/2018,0,0,0,0,94,87,80,870000,,,
0,2000,D,1/23/2018,2/8/2018,4/27/2018,0,0,0,0,94,76,76,820000,,,
0,2000,E,1/23/2018,2/9/2018,7/18/2018,0,0,0,0,70,44,77,636667,,,
0,2000,F,1/23/2018,2/9/2018,1/3/2019,0,0,0,0,69,71,67,690000,,,
0,2000,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,2000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,2000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
0,2000,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,A,1/23/2018,3/12/2018,12/18/2018,48,41,70,530000,0,0,0,0,,,
20,0,B,1/23/2018,3/1/2018,1/1/2019,1,1,1,10000,0,0,0,0,,,
20,0,C,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,D,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,0,I,1/23/2018,3/1/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,0,J,1/23/2018,3/12/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,5,A,1/23/2018,1/30/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,5,B,1/23/2018,2/5/2018,4/4/2018,0,0,0,0,73,66,70,696667,,,
20,5,C,1/23/2018,2/16/2018,11/16/2018,0,0,0,0,0,0,0,0,,,
20,5,D,1/23/2018,2/16/2018,11/28/2018,10,0,2,40000,0,0,0,0,,,
20,5,E,1/23/2018,2/23/2018,2/25/2018,0,0,0,0,0,0,0,0,,,
20,5,F,1/23/2018,2/25/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,5,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,5,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,50,A,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,87,87,96,900000,,,
20,50,B,1/23/2018,2/16/2018,11/28/2019,181,163,362,2353333,0,0,0,0,,,
20,50,C,1/23/2018,2/17/2018,11/27/2018,63,43,58,546667,0,0,0,0,,,
20,50,D,1/23/2018,2/23/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,50,E,1/23/2018,2/25/2018,12/3/2018,0,0,0,0,0,0,0,0,,,
20,50,F,1/23/2018,2/23/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,50,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,50,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,250,A,1/23/2018,2/5/2018,4/4/2018,0,0,0,0,70,85,92,823333,,,
20,250,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,162,129,166,1523333,,,
20,250,C,1/23/2018,2/9/2018,1/12/2019,15,0,6,70000,65,12,15,306667,,,
20,250,D,1/23/2018,2/10/2018,12/17/2018,0,0,0,0,94,76,83,843333,,,
20,250,E,1/23/2018,2/10/2018,11/12/2018,48,41,48,456667,138,159,163,1533333,,,
20,250,F,1/23/2018,2/23/2018,12/3/2018,0,0,0,0,0,0,0,0,,,
20,250,G,1/23/2018,2/25/2018,12/21/2018,41,49,48,460000,0,0,0,0,,,
20,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,250,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,250,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,500,A,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,52,43,41,453333,,,
20,500,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,59,47,58,546667,,,
20,500,C,1/23/2018,2/9/2018,11/26/2018,0,0,0,0,81,80,82,810000,,,
20,500,D,1/23/2018,2/9/2018,12/17/2018,45,36,54,450000,63,85,120,893333,,,
20,500,E,1/23/2018,2/12/2018,11/15/2018,0,0,0,0,138,141,129,1360000,,,
20,500,F,1/23/2018,2/23/2018,12/3/2018,51,43,56,500000,0,0,0,0,,,
20,500,G,1/23/2018,2/19/2018,12/4/2018,54,57,54,550000,0,0,0,0,,,
20,500,H,1/23/2018,2/25/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,500,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,500,J,1/23/2018,2/27/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,1000,A,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,34,51,52,456667,,used dirty pestle,
20,1000,B,1/23/2018,2/9/2018,11/26/2018,0,0,0,0,116,114,97,1090000,,,
20,1000,C,1/23/2018,2/9/2018,11/29/2018,0,0,0,0,96,75,87,860000,,,
20,1000,D,1/23/2018,2/10/2018,11/29/2018,0,0,0,0,78,73,97,826667,,,
20,1000,E,1/23/2018,2/12/2018,1/14/2018,0,0,0,0,91,95,94,933333,,,
20,1000,F,1/23/2018,2/17/2018,11/13/2018,0,0,0,0,40,1,0,136667,,,
20,1000,G,1/23/2018,2/19/2018,1/1/2019,416,380,400,3986667,0,0,0,0,,,
20,1000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,1000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,1000,J,1/23/2018,3/4/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
20,2000,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,44,48,45,456667,,,
20,2000,B,1/23/2018,2/6/2018,4/12/2018,0,0,0,0,112,94,97,1010000,,,
20,2000,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,102,81,88,903333,,,
20,2000,D,1/23/2018,2/10/2018,11/26/2018,0,0,0,0,81,84,NA,825000,,,
20,2000,E,1/23/2018,2/10/2018,11/26/2018,0,0,0,0,94,95,78,890000,,,
20,2000,F,1/23/2018,2/10/2018,12/17/2019,0,0,0,0,102,92,100,980000,,,
20,2000,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,2000,J,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,A,1/23/2018,2/15/2018,12/13/2018,80,96,76,840000,0,0,0,0,,,
200,0,B,1/23/2018,2/17/2018,11/28/2018,13,5,33,170000,0,0,0,0,,,
200,0,C,1/23/2018,3/5/2018,12/21/2018,13,10,13,120000,0,0,0,0,,,
200,0,D,1/23/2018,3/21/2018,1/1/2019,401,119,213,2443333,0,0,0,0,,,
200,0,E,1/23/2018,3/21/2018,1/1/2019,21,17,NA,190000,0,0,NA,0,,,
200,0,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,0,H,1/23/2018,3/4/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,0,I,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,0,J,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,5,A,1/23/2018,2/23/2018,12/18/2018,0,0,0,0,3,3,0,20000,,,
200,5,B,1/23/2018,3/6/2018,12/21/2018,12,11,8,103333,0,0,0,0,,,
200,5,C,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,D,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,5,I,1/23/2018,3/6/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,5,J,1/23/2018,3/21/2018,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,
200,50,A,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,74,69,73,720000,,,
200,50,B,1/23/2018,2/7/2018,4/12/2018,0,0,0,0,112,131,142,1283333,,,
200,50,C,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,73,102,82,856667,,,
200,50,D,1/23/2018,2/15/2018,1/3/2019,0,0,0,0,0,0,0,0,,,
200,50,E,1/23/2018,2/27/2018,12/13/2018,0,3,2,16667,0,0,0,0,,,
200,50,F,1/23/2018,2/10/2018,1/17/2019,0,0,0,0,92,78,87,856667,,,
200,50,G,1/23/2018,2/25/2018,12/18/2018,17,17,23,190000,0,0,0,0,,,
200,50,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,50,I,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,50,J,1/23/2018,missing,,,,,,,,,,,,
200,250,A,1/23/2018,2/2/2018,3/22/2018,0,0,0,0,50,54,50,513333,,,
200,250,B,1/23/2018,2/6/2018,4/11/2018,0,0,0,0,192,196,NA,1940000,,only 2 counts because some of the slurry was lost due to pipetting error,
200,250,C,1/23/2018,2/7/2018,4/12/2018,0,0,0,0,120,136,137,1310000,, ,
200,250,D,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,87,80,79,820000,,,
200,250,E,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,F,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,G,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,H,1/23/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
200,250,I,1/23/2018,missing,,,,,,,,,,,,
200,250,J,1/23/2018,missing,,,,,,,,,,,,
200,500,A,1/23/2018,2/5/2018,3/28/2018,0,0,0,0,91,74,67,773333,,,
200,500,B,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,128,103,119,1166667,,,
200,500,C,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,83,67,105,850000,,,
200,500,D,1/23/2018,2/5/2018,3/29/2018,0,0,0,0,110,80,90,933333,,,
200,500,E,1/23/2018,2/8/2018,4/26/2018,0,0,0,0,18,20,25,210000,,,
200,500,F,1/23/2018,2/10/2018,11/15/2018,0,0,0,0,121,140,143,1346667,,,
200,500,G,1/23/2018,2/10/2018,11/16/2018,0,0,0,0,94,122,118,1113333,,,
200,500,H,1/23/2018,2/10/2018,1/14/2018,0,0,0,0,101,98,109,1026667,,,
200,500,I,1/23/2018,2/12/2018,1/12/2018,0,0,0,0,131,92,108,1103333,,,
200,500,J,1/23/2018,2/9/2018,11/26/2018,2,3,1,20000,111,108,119,1126667,,,
200,1000,A,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,48,47,48,476667,,,
200,1000,B,1/23/2018,2/3/2018,3/28/2018,0,0,0,0,45,58,44,490000,,,
